id,drug_id,drug_name,gene,phenotype,implications_text,recommendation_text,strength,activity_score,allele_status,population,dosing_information,comments,risk_score,combined_text
7589656,RxNorm:5691,imipramine,CYP2D6,CYP2D6: No Result; CYP2C19: Ultrarapid Metabolizer,CYP2D6: n/a; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments.",Optional,"{""CYP2D6"": ""No Result"", ""CYP2C19"": ""n/a""}",,general,,"Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",7,"CYP2D6: n/a; CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects | Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments. | Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
7589789,RxNorm:6878,methylene blue,G6PD,G6PD: Deficient with CNSHA,G6PD: High risk of acute exacerbation of chronic hemolysis,Avoid use,Strong,,,general,,"Although there are not published data in individuals with the G6PD Deficient with CNSHA phenotype, there is a strong rationale to avoid these drugs based on evidence in G6PD Deficient individuals.",9,"G6PD: High risk of acute exacerbation of chronic hemolysis | Avoid use | Although there are not published data in individuals with the G6PD Deficient with CNSHA phenotype, there is a strong rationale to avoid these drugs based on evidence in G6PD Deficient individuals."
7589657,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Poor Metabolizer; CYP2C19: Indeterminate,CYP2D6: Greatly reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",Optional,"{""CYP2D6"": ""0.0"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.",7,"CYP2D6: Greatly reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a | Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain."
7589658,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: Indeterminate,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.,Optional,"{""CYP2D6"": ""0.25"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a | Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain."
7589659,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: Indeterminate,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.,Optional,"{""CYP2D6"": ""0.5"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a | Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain."
7589660,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: Indeterminate,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.,Optional,"{""CYP2D6"": ""0.75"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a | Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain."
7589661,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: Indeterminate,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.,Optional,"{""CYP2D6"": ""1.0"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: n/a | Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain."
7589662,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Indeterminate,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a,No recommendation,Strong,"{""CYP2D6"": ""1.25"", ""CYP2C19"": ""n/a""}",,general,,n/a,5,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a | No recommendation
7589663,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Indeterminate,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a,No recommendation,Strong,"{""CYP2D6"": ""1.5"", ""CYP2C19"": ""n/a""}",,general,,n/a,5,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a | No recommendation
7589664,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Indeterminate,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a,No recommendation,Strong,"{""CYP2D6"": ""1.75"", ""CYP2C19"": ""n/a""}",,general,,n/a,5,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a | No recommendation
7589665,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Indeterminate,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a,No recommendation,Strong,"{""CYP2D6"": ""2.0"", ""CYP2C19"": ""n/a""}",,general,,n/a,5,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a | No recommendation
7589666,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Indeterminate,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a,No recommendation,Strong,"{""CYP2D6"": ""2.25"", ""CYP2C19"": ""n/a""}",,general,,n/a,5,CYP2D6: Normal metabolism of TCAs; CYP2C19: n/a | No recommendation
7589687,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Likely Intermediate Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers,Initiate therapy with recommended starting dose.,Optional,"{""CYP2D6"": ""1.75"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",5,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers | Initiate therapy with recommended starting dose. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7589670,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Ultrarapid Metabolizer; CYP2C19: Indeterminate,CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",Optional,"{""CYP2D6"": ""4.0"", ""CYP2C19"": ""n/a""}",,general,,n/a,7,"CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a | Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
7589671,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Ultrarapid Metabolizer; CYP2C19: Indeterminate,CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",Optional,"{""CYP2D6"": ""≥3.0"", ""CYP2C19"": ""n/a""}",,general,,n/a,7,"CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a | Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
7589672,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Ultrarapid Metabolizer; CYP2C19: Indeterminate,CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",Optional,"{""CYP2D6"": ""≥3.25"", ""CYP2C19"": ""n/a""}",,general,,n/a,7,"CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a | Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
7589673,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Ultrarapid Metabolizer; CYP2C19: Indeterminate,CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",Optional,"{""CYP2D6"": ""≥3.5"", ""CYP2C19"": ""n/a""}",,general,,n/a,7,"CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a | Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
7589674,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Ultrarapid Metabolizer; CYP2C19: Indeterminate,CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",Optional,"{""CYP2D6"": ""≥4.0"", ""CYP2C19"": ""n/a""}",,general,,n/a,7,"CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a | Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
7589675,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Ultrarapid Metabolizer; CYP2C19: Indeterminate,CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",Optional,"{""CYP2D6"": ""≥3.75"", ""CYP2C19"": ""n/a""}",,general,,n/a,7,"CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a | Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
7589676,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Ultrarapid Metabolizer; CYP2C19: Indeterminate,CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",Optional,"{""CYP2D6"": ""≥5.0"", ""CYP2C19"": ""n/a""}",,general,,n/a,7,"CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a | Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
7589677,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Ultrarapid Metabolizer; CYP2C19: Indeterminate,CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.",Optional,"{""CYP2D6"": ""≥6.0"", ""CYP2C19"": ""n/a""}",,general,,n/a,7,"CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure; CYP2C19: n/a | Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
7589678,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Indeterminate; CYP2C19: Indeterminate,CYP2D6: n/a; CYP2C19: n/a,No recommendation,Optional,"{""CYP2D6"": ""n/a"", ""CYP2C19"": ""n/a""}",,general,,n/a,5,CYP2D6: n/a; CYP2C19: n/a | No recommendation
7589679,RxNorm:5691,imipramine,CYP2D6,CYP2D6: No Result; CYP2C19: Indeterminate,CYP2D6: n/a; CYP2C19: n/a,No recommendation,Optional,"{""CYP2D6"": ""No Result"", ""CYP2C19"": ""n/a""}",,general,,n/a,5,CYP2D6: n/a; CYP2C19: n/a | No recommendation
7589688,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Normal Metabolizer; CYP2C19: Likely Intermediate Metabolizer,CYP2D6: Normal metabolism of TCAs; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers,Initiate therapy with recommended starting dose.,Optional,"{""CYP2D6"": ""2.0"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.",5,"CYP2D6: Normal metabolism of TCAs; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers | Initiate therapy with recommended starting dose. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
7589680,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Poor Metabolizer; CYP2C19: Likely Intermediate Metabolizer,CYP2D6: Greatly reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers,"Avoid imipramine use. If a imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{""CYP2D6"": ""0.0"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.",7,"CYP2D6: Greatly reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers | Avoid imipramine use. If a imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
7589681,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: Likely Intermediate Metabolizer,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.,Optional,"{""CYP2D6"": ""0.25"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers | Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
7589682,RxNorm:5691,imipramine,CYP2D6,CYP2D6: Intermediate Metabolizer; CYP2C19: Likely Intermediate Metabolizer,CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.,Optional,"{""CYP2D6"": ""0.5"", ""CYP2C19"": ""n/a""}",,general,,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.",4,"CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects; CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers | Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended. | Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
